word_ID	word	word_count_in_CTB	difficulty_level	type
42	桿直	1	2	a-head
57	落空	2	2	a-head
98	灰黑	1	2	a-head
121	嚴寒	1	1	a-head
178	油亮	2	1	a-head
211	刻苦	4	3	a-head
276	至多	1	1	a-head
312	閑靜	2	1	a-head
462	端正	3	2	a-head
491	親自	18	3	a-head
609	新奇	3	1	a-head
610	多彩	1	1	a-head
640	早先	4	3	a-head
768	好久	3	2	a-head
989	惡臭	1	1	a-head
1077	淒涼	1	3	a-head
1083	翠綠	1	1	a-head
1158	鮮紅	1	1	a-head
1264	優美	4	1	a-head
1313	特長	4	2	a-head
1390	遠古	2	2	a-head
1428	特重	1	1	a-head
1517	盡早	7	2	a-head
1555	麻煩	9	3	a-head
1632	昂貴	11	2	a-head
2035	浩大	4	2	a-head
2075	更快	1	1	a-head
2082	恆溫	1	1	a-head
2361	均富	2	1	a-head
2475	激憤	3	2	a-head
2483	赤誠	1	1	a-head
2489	同寬	1	1	a-head
2550	恰好	3	1	a-head
2	收縮	2	1	conj
5	臨摹	3	1	conj
8	整發	1	2	conj
10	拋棄	3	1	conj
26	分送	1	1	conj
27	律法	1	1	conj
39	奔流	1	1	conj
40	山河	1	1	conj
59	判讀	3	3	conj
75	送贈	2	1	conj
77	環節	13	1	conj
83	指引	6	2	conj
87	作育	1	1	conj
88	方正	1	2	conj
104	牽引	1	1	conj
105	柴薪	1	1	conj
112	生活	264	2	conj
113	授予	5	1	conj
115	江山	1	2	conj
120	退讓	3	2	conj
123	窠臼	2	1	conj
126	激勵	5	2	conj
128	章程	2	2	conj
136	傳唱	1	2	conj
145	配戴	2	2	conj
158	姐妹	1	1	conj
160	消除	16	2	conj
163	道義	1	1	conj
165	位置	34	2	conj
176	拍打	8	1	conj
177	胃腸	1	1	conj
192	氣息	7	2	conj
195	擱置	2	1	conj
198	順便	4	2	conj
202	述評	3	2	conj
207	景像	1	1	conj
225	分裂	22	1	conj
232	抨擊	3	1	conj
233	隱瞞	2	2	conj
248	抵押	5	1	conj
253	村鎮	3	1	conj
261	搜集	3	2	conj
262	溫潤	1	2	conj
263	邊界	19	1	conj
266	戰爭	57	2	conj
267	驚擾	1	2	conj
268	市鎮	10	1	conj
271	取代	25	1	conj
286	扶植	2	2	conj
319	比擬	2	1	conj
320	消逝	2	2	conj
321	淪落	2	2	conj
322	盛載	1	2	conj
324	光鮮	4	1	conj
325	挖取	2	1	conj
331	見證	14	2	conj
333	徘徊	4	1	conj
344	連繫	1	1	conj
348	查緝	4	1	conj
350	承攬	1	1	conj
360	文書	4	1	conj
361	煙硝	1	2	conj
364	厭倦	2	2	conj
366	倉惶	1	2	conj
368	購置	1	1	conj
370	批改	1	2	conj
387	驚恐	1	1	conj
391	底細	1	3	conj
395	承接	3	1	conj
396	答應	5	2	conj
398	俯拾	1	1	conj
402	苦難	2	1	conj
410	衍伸	1	2	conj
427	奇怪	5	1	conj
431	山巒	2	1	conj
436	牽制	3	3	conj
438	營救	1	3	conj
448	偶像	15	3	conj
456	節制	4	2	conj
463	生徒	1	1	conj
466	光陰	1	2	conj
468	退縮	2	2	conj
471	巡迴	3	1	conj
473	耕讀	1	2	conj
475	奇幻	2	2	conj
476	腐敗	1	3	conj
482	熄滅	1	1	conj
484	殺戮	2	1	conj
485	品評	1	1	conj
493	質素	4	2	conj
494	根源	3	1	conj
498	節儉	2	1	conj
499	展延	2	1	conj
501	閒適	2	1	conj
502	境界	5	1	conj
509	招呼	2	1	conj
511	啟發	7	1	conj
512	生師	1	1	conj
522	追索	2	1	conj
525	印刷	4	1	conj
528	信息	82	1	conj
530	區域	56	1	conj
533	感覺	46	1	conj
534	計畫	61	1	conj
535	協商	18	1	conj
542	評比	6	1	conj
544	包庇	1	1	conj
554	托持	1	3	conj
555	啟用	20	1	conj
560	豐足	1	1	conj
576	負荷	3	1	conj
580	管制	14	1	conj
590	打扮	23	2	conj
591	牌匾	1	1	conj
596	工讀	1	1	conj
599	凝聚	13	1	conj
607	稻米	4	1	conj
613	審核	6	1	conj
618	射擊	2	1	conj
619	湖泊	1	1	conj
622	琢磨	4	1	conj
635	盈虧	6	1	conj
636	演唱	15	1	conj
637	部屬	3	1	conj
661	培育	28	1	conj
667	禮讚	1	2	conj
670	援贈	1	2	conj
676	探險	4	2	conj
693	驚喜	1	1	conj
694	撥發	1	1	conj
696	流變	2	2	conj
708	夫妻	13	1	conj
714	復健	4	1	conj
720	劫持	3	1	conj
726	任用	2	2	conj
727	鼓舞	5	2	conj
738	套取	1	3	conj
739	紡織	65	2	conj
742	分發	2	1	conj
746	削減	4	3	conj
753	倣傚	3	3	conj
757	飛舞	1	2	conj
762	工藝	19	2	conj
766	比喻	5	2	conj
774	會談	47	2	conj
777	唯獨	4	2	conj
785	操演	1	1	conj
802	官民	1	1	conj
803	服裝	23	1	conj
804	會計	8	2	conj
808	掃除	10	1	conj
809	敦實	1	1	conj
814	跌坐	1	1	conj
815	彈奏	1	2	conj
831	情調	1	2	conj
832	侵害	2	1	conj
835	劃撥	1	1	conj
838	規程	1	2	conj
842	顯貴	1	1	conj
846	允諾	2	2	conj
847	創新	64	1	conj
850	歡愉	1	1	conj
860	律例	1	2	conj
867	出現	152	2	conj
870	刪減	1	1	conj
871	接連	4	1	conj
872	遮掩	1	1	conj
875	中西	6	1	conj
881	緝拿	1	2	conj
884	馳援	1	3	conj
888	緩慢	10	1	conj
891	清淡	2	1	conj
900	花費	9	2	conj
906	奇偉	1	3	conj
911	險惡	2	1	conj
919	機緣	3	2	conj
935	滋味	4	1	conj
940	扶助	1	1	conj
943	載負	1	1	conj
949	繳交	2	1	conj
957	貧瘠	1	2	conj
969	院校	19	2	conj
970	歇息	1	1	conj
975	懶惰	1	1	conj
985	豐美	2	2	conj
986	家戶	2	2	conj
990	俯伏	1	1	conj
992	富強	4	1	conj
993	衣食	1	1	conj
1000	指點	3	1	conj
1019	恥辱	1	1	conj
1023	空曠	1	1	conj
1025	險峻	2	2	conj
1033	年歲	6	1	conj
1035	參雜	1	1	conj
1038	艱辛	7	2	conj
1042	編導	2	2	conj
1043	壽命	9	2	conj
1047	探詢	2	2	conj
1059	探訪	2	2	conj
1060	沈降	1	1	conj
1064	欣慰	5	1	conj
1086	會聚	1	2	conj
1088	推行	38	3	conj
1095	減損	1	3	conj
1104	帝王	8	2	conj
1105	整修	2	3	conj
1115	排解	1	2	conj
1119	悲苦	2	2	conj
1126	院所	3	1	conj
1128	來回	1	2	conj
1132	禮節	1	2	conj
1136	訊息	12	1	conj
1137	階層	13	1	conj
1141	闌珊	1	3	conj
1142	叛逆	4	1	conj
1147	籌設	3	2	conj
1148	緊實	2	2	conj
1150	疏鬆	1	1	conj
1159	動作	31	3	conj
1162	涉獵	2	3	conj
1167	伸張	2	1	conj
1170	坐落	1	3	conj
1172	慨歎	4	2	conj
1174	戒嚴	14	3	conj
1182	結構	125	1	conj
1183	憾恨	1	2	conj
1184	終止	7	1	conj
1192	播放	8	1	conj
1198	安息	1	1	conj
1209	散亂	1	2	conj
1220	來去	1	1	conj
1232	訓導	2	2	conj
1233	資格	36	2	conj
1236	書籍	15	1	conj
1239	指陳	3	2	conj
1240	摧毀	1	2	conj
1245	分散	10	1	conj
1250	行銷	26	3	conj
1258	養殖	9	2	conj
1262	藩籬	2	1	conj
1268	分擔	4	3	conj
1271	鳳凰	1	2	conj
1277	理智	2	3	conj
1281	停頓	2	1	conj
1291	能否	21	3	conj
1294	收儲	1	1	conj
1296	觀摩	1	1	conj
1304	停靠	2	2	conj
1319	昌隆	1	1	conj
1327	宮城	4	2	conj
1344	陳奏	1	3	conj
1354	派發	2	2	conj
1361	細柔	2	2	conj
1382	絹帛	1	1	conj
1383	迷惑	1	2	conj
1384	升騰	1	2	conj
1391	灰燼	1	1	conj
1396	浸淫	3	2	conj
1401	浪潮	9	1	conj
1410	克盡	1	3	conj
1413	組接	1	1	conj
1414	庫場	1	2	conj
1421	參訪	5	1	conj
1441	名聲	4	2	conj
